micromarket_category,option_name,developer_landlord,building_name,address_location,building_perspective_photo,building_details,building_structure,total_building_size_sqft,average_floor_plate_sqft,floor_plate_efficiency,power_kva,power_backup,proposed_space,available_inventory_sqft,floor_offered,status,fitout_details,timeline,car_parking_ratio,commercial_terms,quoted_rental_sqft_pm,cam_charges_sqft_pm,car_parking_charges,rental_escalation,security_deposit_months,lease_tenure_months,lock_in_period_months,notice_period_months,occupancy_certificate,location_map,contact_details,contact_person,contact_number,official_email,developer_name,folder_category,source_file,source_format,extraction_method,report_period,raw_remarks
CBD,Option 16,Independent,Indiqube - Sapphire,St.Mark's Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,"47,000–62,600 Sft","9,500-11,500 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.969094300912786, 77.60045582178647",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 17,Suraksha Properties,Indiqube - Crystal,Church Street,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+4,"45,000-48,000 Sft","8,000-9,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.97516218547411, 77.60591632178655",Suraksha Properties Leasing Team,Leasing Head - Suraksha Properties,+91-80-40000000,leasing@surakshaproperties.com,Suraksha Properties,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 18,Independent,Indiqube - Penta,Richmond Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,"53,000 Sft","8,800 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.96618385889494, 77.6036889659673",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 19,RMZ Corp,Indiqube - Platina - RMZ Pinnacle,Commissariat Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,"89,000–90,000 Sft","22,270 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971532553720394, 77.61083529480356",RMZ Corp Leasing Team,Leasing Head - RMZ Corp,+91-80-40000000,leasing@rmzcorp.com,RMZ Corp,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 20,Independent,Indiqube - Grandeur,Walton Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+M+4,"44,189 Sft","10,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.972747187506794, 77.59824493527795",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 21,Brigade Group,Indiqube - Brigade Square,"Cambridge Road, Halasuru",Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B+G+6,"1,20,000 Sft","17,000–18,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,130.0 Sq. Ft.,130,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973592276843329, 77.62623067945889",Brigade Group Leasing Team,Leasing Head - Brigade Group,+91-80-40000000,leasing@brigadegroup.com,Brigade Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 22,Prestige Estates Projects Ltd,Awfis - Prestige UB City,"Prestige Towers, UB City, Vittal Mallya Rd",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+17,"580,000 Sft",27000 Sft,80% (+/- 2%),1 KVA / 100 Sft,1,270.0 Sq. Ft.,270,4F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,22000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971806678196021, 77.5959250371312",Prestige Estates Projects Ltd Leasing Team,Leasing Head - Prestige Estates Projects Ltd,+91-80-40000000,leasing@prestigeestatesprojectsltd.com,Prestige Estates Projects Ltd,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 23,Independent,Awfis - Sabari Complex,Residency Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,"45,000 Sft","7,000–10,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,40.0 Sq. Ft.,40,G+1F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,12000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971928323058465, 77.60592959480356",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 24,Prestige Estates Projects Limited,Awfis - Prestige DotCom,Residency Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+M+3,"59,765 Sft","10,527 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,294.0 Sq. Ft.,294,G+4F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,14000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.968804421899216, 77.60093055062259",Prestige Estates Projects Limited Leasing Team,Leasing Head - Prestige Estates Projects Limited,+91-80-40000000,leasing@prestigeestatesprojectslimited.com,Prestige Estates Projects Limited,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 25,Renaissance Holdings & Developers Pvt. Ltd.,Awfis - Rennaisance Centra,Mission Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+M+3,"45,700–48,000 Sft","4,700–9,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,24.0 Sq. Ft.,24,1F+2F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.962852906687479, 77.59269889480342",Renaissance Holdings & Developers Pvt. Ltd. Leasing Team,Leasing Head - Renaissance Holdings & Developers Pvt. Ltd.,+91-80-40000000,leasing@renaissanceholdings&developerspvt.ltd..com,Renaissance Holdings & Developers Pvt. Ltd.,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 26,K. Raheja Group,Awfis - Raheja Towers,MG Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+13,"334,000 Sft","22,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,7F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,10500.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973374096951478, 77.6138883217865",K. Raheja Group Leasing Team,Leasing Head - K. Raheja Group,+91-80-40000000,leasing@k.rahejagroup.com,K. Raheja Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 27,Salarpuria Sattva Group,Awfis - Residency Square (also known as Salarpuria Square),Richmond Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,"19,587 Sft","4,000–5,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,7.0 Sq. Ft.,7,3F+4F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,10000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.965814793339707, 77.60027152178637",Salarpuria Sattva Group Leasing Team,Leasing Head - Salarpuria Sattva Group,+91-80-40000000,leasing@salarpuriasattvagroup.com,Salarpuria Sattva Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 28,SKAV Developers Pvt. Ltd.,Awfis - Skav909,Lavelle Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,3B+G+20,"2,80,000–2,91,333 Sft","13,872–14,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,Flexible Sq. Ft.,Available on Request,8F+14F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.965630193495066, 77.59664506596731",SKAV Developers Pvt. Ltd. Leasing Team,Leasing Head - SKAV Developers Pvt. Ltd.,+91-80-40000000,leasing@skavdeveloperspvt.ltd..com,SKAV Developers Pvt. Ltd.,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 29,Triumph Infrastructure Pvt. Ltd,BHIVE Platinum - Triumph Towers,Church Street,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+7,"110,308 Sft",Flexible floor plates,80% (+/- 2%),1 KVA / 100 Sft,1,630.0 Sq. Ft.,630,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,14000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.975837094671204, 77.60324075247597",Triumph Infrastructure Pvt. Ltd Leasing Team,Leasing Head - Triumph Infrastructure Pvt. Ltd,+91-80-40000000,leasing@triumphinfrastructurepvt.ltd.com,Triumph Infrastructure Pvt. Ltd,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 30,Ramanashree Group,BHIVE Premium - Ramanashree,MG Road (Brunton Rd),Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+5,"55,000–60,000 Sft","9,000–10,500 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,91.0 Sq. Ft.,91,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,11800.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.972496185542255, 77.61501251137162",Ramanashree Group Leasing Team,Leasing Head - Ramanashree Group,+91-80-40000000,leasing@ramanashreegroup.com,Ramanashree Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 31,Independent,BHIVE Workspace - Mahalakshmi Chambers,MG Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+7,"90,000–100,000 Sft","12,000–14,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,190.0 Sq. Ft.,190,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,11600.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.973742470582932, 77.61643045451731",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 32,Independent,BHIVE Honeykomb,"Primrose Rd, MG Road",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+4,"30,000–35,000 Sft","6,000–7,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,95.0 Sq. Ft.,95,TBD,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,9800.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.97144511854063, 77.61293930101452",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 33,Brigade Group,Regus - World Trade Center-Brigade Gateway,"Dr Rajkumar Rd, Malleshwara",Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+32,"13,80,000 Sft","40,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,63.0 Sq. Ft.,63,22F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,34000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"13.011236261850863, 77.55506997945955",Brigade Group Leasing Team,Leasing Head - Brigade Group,+91-80-40000000,leasing@brigadegroup.com,Brigade Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 34,Prestige Group & UB Group,"Regus - Concorde Block, UB City",Vittal Mallya Road,Available on Request / Document Image,Grade A Commercial Space - Unspecified,G+20,"450,000–500,000 Sft","20,000–24,000 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,16.0 Sq. Ft.,16,11F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,32000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.971767223173732, 77.5960370371312",Prestige Group & UB Group Leasing Team,Leasing Head - Prestige Group & UB Group,+91-80-40000000,leasing@prestigegroup&ubgroup.com,Prestige Group & UB Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 35,Global Tech Park Pvt. Ltd.,Regus - Global Tech Park (Divyasree Chambers),Langford Town,Available on Request / Document Image,Grade A Commercial Space - Unspecified,2B + G + 7,"202,000 Sft","25,250 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,50.0 Sq. Ft.,50,1F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.962472340707428, 77.59967613713108",Global Tech Park Pvt. Ltd. Leasing Team,Leasing Head - Global Tech Park Pvt. Ltd.,+91-80-40000000,leasing@globaltechparkpvt.ltd..com,Global Tech Park Pvt. Ltd.,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 36,Independent,Regus - Tejas Arcade,"Dr. Rajkumar Road, Rajajinagar 2nd Stage",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+3,"26,621 Sft","6,078 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,30.0 Sq. Ft.,30,2F+3F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,TBD,Included in rent,TBD,0.08,6,36,24,3,Yes,"13.007813011491798, 77.55463355247652",Independent Leasing Team,Leasing Head - Independent,+91-80-40000000,leasing@independent.com,Independent,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
CBD,Option 37,Kelachandra Group,Regus - The Estate,"Dickenson Rd, Near Manipal Centre",Available on Request / Document Image,Grade A Commercial Space - Unspecified,B+G+10,"60,000 Sft","18,294 Sft",80% (+/- 2%),1 KVA / 100 Sft,1,25.0 Sq. Ft.,25,8F,Pre-Furnished,Unspecified,Immediate,"1:1,000 Sft",Standard Commercial Lease,25000.0,Included in rent,TBD,0.08,6,36,24,3,Yes,"12.974640450712736, 77.61466780829514",Kelachandra Group Leasing Team,Leasing Head - Kelachandra Group,+91-80-40000000,leasing@kelachandragroup.com,Kelachandra Group,CBD,BLR - Managed Office Space Supply 2026.xlsx,TARGET_EXCEL,Target Excel Import (CBD),July 2026,
